bin_compquote	Src/Zle/computil.c:3679
bin_compset	Src/Zle/complete.c:1137
bin_comptags	Src/Zle/computil.c:3831
bin_comptry	Src/Zle/computil.c:3961
bin_compvalues	Src/Zle/computil.c:3475
bin_delattr	Src/Modules/attr.c:150
bin_dirs	Src/builtin.c:749
bin_dot	Src/builtin.c:6060
bin_echotc	Src/Modules/termcap.c:80
bin_echoti	Src/Modules/terminfo.c:64
bin_emulate	Src/builtin.c:6232
bin_enable	Src/builtin.c:517
bin_eval	Src/builtin.c:6393
bin_example	Src/Modules/example.c:42
bin_false	Src/builtin.c:4559
bin_fc	Src/builtin.c:1426
bin_fg	Src/jobs.c:2421
bin_functions	Src/builtin.c:3342
bin_getattr	Src/Modules/attr.c:98
bin_getcap	Src/Modules/cap.c:68
bin_getopts	Src/builtin.c:5672
bin_hash	Src/builtin.c:4234
bin_hashinfo	Src/hashtable.c:566
bin_kill	Src/jobs.c:2772
bin_let	Src/builtin.c:7469
bin_limit	Src/Builtins/rlimits.c:519
bin_listattr	Src/Modules/attr.c:169
bin_ln	Src/Modules/files.c:200
bin_log	Src/Modules/watch.c:659
bin_log	Src/Modules/watch.c:681
bin_mem	Src/mem.c:1722
bin_mkdir	Src/Modules/files.c:63
bin_notavail	Src/builtin.c:7604
bin_pcre_compile	Src/Modules/pcre.c:70
bin_pcre_match	Src/Modules/pcre.c:328
bin_pcre_study	Src/Modules/pcre.c:112
bin_print	Src/builtin.c:4587
bin_private	Src/Modules/param_private.c:217
bin_pwd	Src/builtin.c:728
bin_read	Src/builtin.c:6412
bin_rm	Src/Modules/files.c:616
bin_rmdir	Src/Modules/files.c:150
bin_sched	Src/Builtins/sched.c:150
bin_set	Src/builtin.c:601
bin_setattr	Src/Modules/attr.c:133
bin_setcap	Src/Modules/cap.c:91
bin_setopt	Src/options.c:580
bin_shift	Src/builtin.c:5593
bin_stat	Src/Modules/stat.c:368
bin_strftime	Src/Modules/datetime.c:187
bin_suspend	Src/jobs.c:3170
bin_sync	Src/Modules/files.c:53
bin_syserror	Src/Modules/system.c:494
bin_sysopen	Src/Modules/system.c:319
bin_sysread	Src/Modules/system.c:72
bin_sysseek	Src/Modules/system.c:433
bin_syswrite	Src/Modules/system.c:238
bin_test	Src/builtin.c:7231
bin_times	Src/builtin.c:7324
bin_trap	Src/builtin.c:7347
bin_true	Src/builtin.c:4550
bin_ttyctl	Src/builtin.c:7454
bin_typeset	Src/builtin.c:2655
bin_ulimit	Src/Builtins/rlimits.c:729
bin_umask	Src/builtin.c:7491
bin_unhash	Src/builtin.c:4346
bin_unlimit	Src/Builtins/rlimits.c:670
bin_unset	Src/builtin.c:3818
bin_vared	Src/Zle/zle_main.c:1678
bin_whence	Src/builtin.c:3975
bin_zcompile	Src/parse.c:3180
bin_zcurses	Src/Modules/curses.c:1568
bin_zformat	Src/Modules/zutil.c:955
bin_zftp	Src/Modules/zftp.c:3002
bin_zgdbmpath	Src/Modules/db_gdbm.c:236
bin_zle	Src/Zle/zle_thingy.c:343
bin_zle_call	Src/Zle/zle_thingy.c:703
bin_zle_complete	Src/Zle/zle_thingy.c:600
bin_zle_del	Src/Zle/zle_thingy.c:548
bin_zle_fd	Src/Zle/zle_thingy.c:857
bin_zle_flags	Src/Zle/zle_thingy.c:651
bin_zle_invalidate	Src/Zle/zle_thingy.c:830
bin_zle_keymap	Src/Zle/zle_thingy.c:488
bin_zle_link	Src/Zle/zle_thingy.c:567
bin_zle_list	Src/Zle/zle_thingy.c:393
bin_zle_mesg	Src/Zle/zle_thingy.c:459
bin_zle_new	Src/Zle/zle_thingy.c:584
bin_zle_refresh	Src/Zle/zle_thingy.c:418
bin_zle_transform	Src/Zle/zle_thingy.c:955
bin_zle_unget	Src/Zle/zle_thingy.c:473
bin_zmodload	Src/module.c:2440
bin_zmodload_alias	Src/module.c:2515
bin_zmodload_auto	Src/module.c:2726
bin_zmodload_dep	Src/module.c:2649
bin_zmodload_exist	Src/module.c:2623
bin_zmodload_features	Src/module.c:3003
bin_zmodload_load	Src/module.c:2971
bin_zparseopts	Src/Modules/zutil.c:1738
bin_zprof	Src/Modules/zprof.c:139
bin_zpty	Src/Modules/zpty.c:773
bin_zregexparse	Src/Modules/zutil.c:1486
bin_zselect	Src/Modules/zselect.c:65
bin_zsocket	Src/Modules/socket.c:57
bin_zstyle	Src/Modules/zutil.c:487
bin_zsystem	Src/Modules/system.c:806
bin_zsystem_flock	Src/Modules/system.c:546
bin_zsystem_supports	Src/Modules/system.c:781
bin_ztcp	Src/Modules/tcp.c:342
bin_ztie	Src/Modules/db_gdbm.c:109
bin_zuntie	Src/Modules/db_gdbm.c:201
bindkey	Src/Zle/zle_keymap.c:566
bindlistout	Src/Zle/zle_keymap.c:1172
bindwidget	Src/Zle/zle_thingy.c:199
bindztrdup	Src/Zle/zle_utils.c:1238
blankwordclass	Src/Zle/textobjects.c:34
bld_all_str	Src/Zle/compresult.c:2187
bld_eprog	Src/parse.c:547
bld_line	Src/Zle/compmatch.c:1736
bld_parts	Src/Zle/compmatch.c:1638
boot_	Src/Builtins/rlimits.c:905
boot_	Src/Builtins/sched.c:418
boot_	Src/module.c:331
boot_	Src/Modules/attr.c:258
boot_	Src/Modules/cap.c:161
boot_	Src/Modules/clone.c:145
boot_	Src/Modules/curses.c:1766
boot_	Src/Modules/datetime.c:292
boot_	Src/Modules/db_gdbm.c:635
boot_	Src/Modules/example.c:222
boot_	Src/Modules/files.c:860
boot_	Src/Modules/hlgroup.c:204
boot_	Src/Modules/ksh93.c:258
boot_	Src/Modules/langinfo.c:494
boot_	Src/Modules/mapfile.c:301
boot_	Src/Modules/mathfunc.c:570
boot_	Src/Modules/nearcolor.c:191
boot_	Src/Modules/newuser.c:68
boot_	Src/Modules/param_private.c:709
boot_	Src/Modules/parameter.c:2341
boot_	Src/Modules/pcre.c:564
boot_	Src/Modules/random.c:282
boot_	Src/Modules/regex.c:251
boot_	Src/Modules/socket.c:313
boot_	Src/Modules/stat.c:673
boot_	Src/Modules/system.c:942
boot_	Src/Modules/tcp.c:736
boot_	Src/Modules/termcap.c:345
boot_	Src/Modules/terminfo.c:338
boot_	Src/Modules/watch.c:738
boot_	Src/Modules/zftp.c:3196
boot_	Src/Modules/zprof.c:355
boot_	Src/Modules/zpty.c:918
boot_	Src/Modules/zselect.c:310
boot_	Src/Modules/zutil.c:2176
boot_	Src/Zle/compctl.c:4049
boot_	Src/Zle/complete.c:1758
boot_	Src/Zle/complist.c:3564
boot_	Src/Zle/computil.c:5153
boot_	Src/Zle/deltochar.c:112
boot_	Src/Zle/zle_main.c:2301
boot_	Src/Zle/zleparameter.c:169
boot_module	Src/module.c:1910
boot_module	Src/module.c:1960
bop	Src/math.c:1454
bracechardots	Src/glob.c:2222
bracketedpaste	Src/Zle/zle_misc.c:814
bracketedstring	Src/Zle/zle_misc.c:784
breakread	Src/Zle/zle_main.c:381
bslashcolon	Src/Zle/computil.c:1066
bufferwords	Src/hist.c:3385
bufswap	Src/Zle/zle_refresh.c:946
build_cur_dump	Src/parse.c:3536
build_dump	Src/parse.c:3397
build_pos_string	Src/Zle/compresult.c:489
ca_colonlist	Src/Zle/computil.c:2428
ca_foreign_opt	Src/Zle/computil.c:1787
ca_get_arg	Src/Zle/computil.c:1807
ca_get_opt	Src/Zle/computil.c:1706
ca_get_sopt	Src/Zle/computil.c:1747
ca_inactive	Src/Zle/computil.c:1832
ca_nullist	Src/Zle/computil.c:2411
ca_opt_arg	Src/Zle/computil.c:1976
ca_parse_line	Src/Zle/computil.c:2004
ca_set_data	Src/Zle/computil.c:2472
calc_timeout	Src/Zle/zle_main.c:454
calclist	Src/Zle/compresult.c:1495
callcompfunc	Src/Zle/compcore.c:544
callhookfunc	Src/utils.c:1469
callmathfunc	Src/math.c:1037
calloc	Src/mem.c:1697
cancd	Src/exec.c:6370
cancd2	Src/exec.c:6411
capitalizeword	Src/Zle/zle_word.c:577
casemodify	Src/hist.c:2196
cc_assign	Src/Zle/compctl.c:1174
cc_reassign	Src/Zle/compctl.c:1253
cccleanuphookfn	Src/Zle/compctl.c:1910
ccmakehookfn	Src/Zle/compctl.c:1763
cd_able_vars	Src/builtin.c:1088
cd_arrcat	Src/Zle/computil.c:444
cd_arrdup	Src/Zle/computil.c:599
cd_calc	Src/Zle/computil.c:188
cd_do_chdir	Src/builtin.c:967
cd_get	Src/Zle/computil.c:614
cd_get_dest	Src/builtin.c:865
cd_group	Src/Zle/computil.c:127
cd_groups_want_sorting	Src/Zle/computil.c:215
cd_init	Src/Zle/computil.c:477
cd_new_pwd	Src/builtin.c:1187
cd_prep	Src/Zle/computil.c:239
cd_sort	Src/Zle/computil.c:233
cd_try_chdir	Src/builtin.c:1116
cf_ignore	Src/Zle/computil.c:4860
cf_pats	Src/Zle/computil.c:4829
cf_remove_other	Src/Zle/computil.c:4899
cfp_add_sdirs	Src/Zle/computil.c:4735
cfp_bld_pats	Src/Zle/computil.c:4704
cfp_matcher_pats	Src/Zle/computil.c:4525
cfp_matcher_range	Src/Zle/computil.c:4307
cfp_opt_pats	Src/Zle/computil.c:4621
cfp_test_exact	Src/Zle/computil.c:4160
chabspath	Src/hist.c:1878
charlenconv	Src/utils.c:5832
charnext	Src/pattern.c:1936
charref	Src/pattern.c:1909
charrefinc	Src/pattern.c:1964
charsub	Src/pattern.c:1997
check_autoload	Src/builtin.c:3193
